# 6442, 1590253813
#  dongle_time, rssi, ch, mac, adv_packet                                                          
    3635963,-80,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407E0100000000000000000000000019C0
    3635995,-82,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040570100000000000000000000000019C0
    3636016,-84,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C60100000000000000000000000019C0
    3636050,-69,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DD0000000000000000000000000019C0
    3636071,-79,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407E0100000000000000000000000019C0
    3636102,-82,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040570100000000000000000000000019C0
    3636122,-83,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C60100000000000000000000000019C0
    3636152,-69,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DD0000000000000000000000000019C0
    3636173,-79,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407E0100000000000000000000000019C0
    3636208,-82,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040570100000000000000000000000019C0
    3636229,-84,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C60100000000000000000000000019C0
    3638475,-75,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DD0000000000000000000000000019C0
    3638496,-76,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407E0100000000000000000000000019C0
    3638556,-84,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C60100000000000000000000000019C0
    3638585,-75,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DD0000000000000000000000000019C0
    3638605,-76,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407E0100000000000000000000000019C0
    3638661,-84,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C60100000000000000000000000019C0
    3638691,-75,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DD0000000000000000000000000019C0
    3638712,-76,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407E0100000000000000000000000019C0
    3641036,-85,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407E0100000000000000000000000019C0
    3641069,-85,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040570100000000000000000000000019C0
    3641090,-85,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040510100000000000000000000000019C0
    3641126,-77,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DE0000000000000000000000000019C0
    3641147,-85,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407E0100000000000000000000000019C0
    3641176,-85,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040570100000000000000000000000019C0
    3641196,-85,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040520100000000000000000000000019C0
    3641217,-90,39,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C70100000000000000000000000019C0
    3641238,-78,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DE0000000000000000000000000019C0
    3641259,-85,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407E0100000000000000000000000019C0
    3641279,-84,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040570100000000000000000000000019C0
    3641300,-85,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040520100000000000000000000000019C0
    3641337,-78,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DE0000000000000000000000000019C0
    3643601,-83,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040580100000000000000000000000019C0
    3643622,-84,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C70100000000000000000000000019C0
    3643677,-69,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DE0000000000000000000000000019C0
    3643697,-80,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407F0100000000000000000000000019C0
    3643718,-83,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040580100000000000000000000000019C0
    3643739,-84,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C70100000000000000000000000019C0
    3643778,-69,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DE0000000000000000000000000019C0
    3643799,-80,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407F0100000000000000000000000019C0
    3643819,-83,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040580100000000000000000000000019C0
    3643840,-84,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C70100000000000000000000000019C0
    3643887,-69,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DE0000000000000000000000000019C0
    3643908,-80,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407F0100000000000000000000000019C0
    3646154,-86,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C70100000000000000000000000019C0
    3646208,-77,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407F0100000000000000000000000019C0
    3646239,-75,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DE0000000000000000000000000019C0
    3646261,-85,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C70100000000000000000000000019C0
    3646314,-77,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407F0100000000000000000000000019C0
    3646344,-75,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DE0000000000000000000000000019C0
    3646365,-84,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C70100000000000000000000000019C0
    3646419,-76,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407F0100000000000000000000000019C0
    3646448,-74,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DE0000000000000000000000000019C0
    3646469,-84,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C70100000000000000000000000019C0
    3648741,-76,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DE0000000000000000000000000019C0
    3648762,-85,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407F0100000000000000000000000019C0
    3648782,-85,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040580100000000000000000000000019C0
    3648803,-83,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040520100000000000000000000000019C0
    3648850,-77,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DE0000000000000000000000000019C0
    3648871,-85,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407F0100000000000000000000000019C0
    3648892,-85,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040580100000000000000000000000019C0
    3648912,-83,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040520100000000000000000000000019C0
    3648953,-78,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DE0000000000000000000000000019C0
    3648973,-86,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407F0100000000000000000000000019C0
