# 6201, 1589651660
#  dongle_time, rssi, mac, adv_packet                                                              
     799612, -68, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040910200000000000000000000000019C0
     802016, -68, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040910200000000000000000000000019C0
     802053, -67, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040100100000000000000000000000019C0
     802117, -68, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040910200000000000000000000000019C0
     802220, -68, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040910200000000000000000000000019C0
     804531, -66, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040920200000000000000000000000019C0
     804584, -68, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040100100000000000000000000000019C0
     804634, -67, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040920200000000000000000000000019C0
     804688, -68, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040100100000000000000000000000019C0
     804735, -68, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040920200000000000000000000000019C0
     807115, -64, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040110100000000000000000000000019C0
     807151, -66, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040920200000000000000000000000019C0
     807224, -64, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040110100000000000000000000000019C0
     807255, -67, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040920200000000000000000000000019C0
     807355, -69, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040920200000000000000000000000019C0
     809768, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040920200000000000000000000000019C0
     809789, -68, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040110100000000000000000000000019C0
     809876, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040920200000000000000000000000019C0
     812202, -68, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040110100000000000000000000000019C0
     812271, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040920200000000000000000000000019C0
     812302, -68, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040110100000000000000000000000019C0
     812376, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040920200000000000000000000000019C0
     812484, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040920200000000000000000000000019C0
     814806, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040930200000000000000000000000019C0
     814827, -64, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040110100000000000000000000000019C0
     814907, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040930200000000000000000000000019C0
     814928, -64, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040110100000000000000000000000019C0
     815015, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040930200000000000000000000000019C0
     817328, -78, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040930200000000000000000000000019C0
     817374, -73, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040120100000000000000000000000019C0
     817434, -80, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040930200000000000000000000000019C0
     817480, -76, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040120100000000000000000000000019C0
     817536, -77, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040930200000000000000000000000019C0
     822464, -82, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040120100000000000000000000000019C0
     822485, -72, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040930200000000000000000000000019C0
     822570, -76, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040120100000000000000000000000019C0
     822590, -72, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040930200000000000000000000000019C0
     822684, -72, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040930200000000000000000000000019C0
     824988, -68, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040930200000000000000000000000019C0
     825089, -62, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040930200000000000000000000000019C0
     825109, -79, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040120100000000000000000000000019C0
     825196, -62, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
     825302, -65, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
     827609, -63, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
     827645, -75, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040130100000000000000000000000019C0
     827715, -64, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
     827748, -75, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040130100000000000000000000000019C0
     827823, -65, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
     830130, -77, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
     830194, -66, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040130100000000000000000000000019C0
     830232, -75, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
     830303, -65, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040130100000000000000000000000019C0
     830339, -75, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
     832726, -66, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040130100000000000000000000000019C0
     832758, -47, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
     832832, -65, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040130100000000000000000000000019C0
     832858, -50, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
     832960, -54, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
     835248, -67, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040130100000000000000000000000019C0
     835270, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
